Date,Mkt_RF,SMB,HML,RMW,CMA,RF,AAPL_RET
2021-10-01,1.12,0.48,0.51,-0.09,0.55,0.0,0.8126942714980823
2021-10-04,-1.42,0.4,2.35,0.69,1.1,0.0,-2.4605642594518917
2021-10-05,1.06,-0.58,-0.07,-0.09,-0.34,0.0,1.4158412241211282
2021-10-06,0.34,-1.0,-0.5,0.33,-0.68,0.0,0.6307243187036349
2021-10-07,1.01,0.45,-0.18,-0.07,0.04,0.0,0.9084458653978889
2021-10-08,-0.27,-0.46,1.13,0.09,0.59,0.0,-0.27219668259202967
2021-10-11,-0.72,0.23,-0.28,-0.04,0.28,0.0,-0.0629675713728961
2021-10-12,-0.07,0.55,-0.43,-0.88,-0.28,0.0,-0.9102917666304333
2021-10-13,0.43,-0.09,-1.05,-0.49,-0.79,0.0,-0.42399169960186667
2021-10-14,1.65,-0.37,-0.28,0.0,-0.12,0.0,2.022571975503906
2021-10-15,0.64,-1.13,0.28,0.37,-0.08,0.0,0.751231612710912
2021-10-18,0.4,-0.41,-0.01,0.57,-0.08,0.0,1.1806287737980536
2021-10-19,0.7,-0.48,-0.24,-0.17,0.1,0.0,1.5080010860489157
2021-10-20,0.34,0.23,1.2,0.28,0.55,0.0,0.3361224036042776
2021-10-21,0.36,0.03,-0.99,0.31,-0.61,0.0,0.14739465200559465
2021-10-22,-0.25,0.02,1.02,0.43,0.47,0.0,-0.5285360027020181
2021-10-25,0.56,0.36,-0.13,-0.41,-0.37,0.0,-0.03357661059817385
2021-10-26,0.05,-0.78,-0.3,-0.38,-0.15,0.0,0.45744455529510564
2021-10-27,-0.76,-0.94,-1.2,0.86,-0.63,0.0,-0.31474024961479774
2021-10-28,1.11,0.83,-0.5,-0.27,-0.17,0.0,2.4991612250331974
2021-10-29,0.21,0.13,-0.83,0.56,-0.83,0.0,-1.8155732687872628
2021-11-01,0.5,2.05,0.44,-1.13,0.07,0.0,-0.5607348421297176
2021-11-02,0.25,-0.33,-0.55,0.42,0.16,0.0,0.7115778270688544
2021-11-03,0.79,1.44,-0.16,0.21,-0.43,0.0,0.9799016892207746
2021-11-04,0.39,-0.29,-1.38,0.66,-0.74,0.0,-0.34986754719759094
2021-11-05,0.37,0.79,1.22,0.05,1.36,0.0,0.35823369581522435
2021-11-08,0.16,0.02,0.1,-0.53,-0.12,0.0,-0.5552541131766731
2021-11-09,-0.34,-0.13,0.46,0.59,0.29,0.0,0.24595662605844115
2021-11-10,-1.04,-0.3,0.95,1.37,0.02,0.0,-1.9163375593827747
2021-11-11,0.17,0.62,0.34,0.14,0.1,0.0,-0.033818155099463176
2021-11-12,0.74,-0.46,-0.91,0.37,-0.29,0.0,1.4336978416021884
2021-11-15,-0.06,-0.45,0.7,0.53,0.5,0.0,0.006684842229409682
2021-11-16,0.44,-0.16,-0.68,0.17,-0.65,0.0,0.6666722803113201
2021-11-17,-0.41,-0.65,-0.26,0.81,0.18,0.0,1.6490131872106017
2021-11-18,0.14,-0.75,-0.06,1.25,-0.11,0.0,2.853574923358515
2021-11-19,-0.25,-0.41,-1.31,1.03,-0.64,0.0,1.6975803121971333
2021-11-22,-0.57,0.07,2.78,1.25,1.63,0.0,0.2927744330530446
2021-11-23,-0.02,-0.19,1.77,0.24,1.15,0.0,0.2422012129428941
2021-11-24,0.3,-0.14,-0.87,-0.54,-0.25,0.0,0.32836012669141823
2021-11-26,-2.23,-1.28,-0.95,0.26,-0.61,0.0,-3.167838920363397
2021-11-29,1.1,-1.31,-0.78,0.38,-0.31,0.0,2.1873303275411926
2021-11-30,-1.95,0.18,-1.13,-0.09,0.39,0.0,3.1577832876496625
2021-12-01,-1.59,-0.44,1.09,2.33,0.78,0.0,-0.32062342143339695
2021-12-02,1.53,1.0,1.24,-0.66,0.04,0.0,-0.6129591231246345
2021-12-03,-1.18,-0.87,1.08,1.76,1.07,0.0,-1.1724610951546532
2021-12-06,1.2,0.84,0.63,0.09,0.62,0.0,2.150267022561847
